Id,Name,Beer Full Name,Style,Brewery,Description,ABV,Min IBU,Max IBU,Rating,User Rating,User Comment
10,Altbier,Uerige Obergärige Hausbrauerei GmbH / Zum Uerige Uerige Altbier (Classic),Altbier,Uerige Obergärige Hausbrauerei GmbH / Zum Uerige,"Uerige Alt is the most bittered beer in Germany. In spite of this (or just for that reason), this legendary Altbier from Düsseldorf is so full-bodied, aromatic and wholesome.Our top-fermented specialty has been brewed since 1862 from barley malt, caramel malt, roasted malt, hops, water - and with our very special Uerige yeast.Our Uerige Alt is regularly chosen among the ten best beers in Germany. It has an alcohol content of 4.7% and a minimum fresh date of eight weeks.Unser Uerige Alt wird regelmäßig unter die zehn besten Biere Deutschlands gewählt. Es hat einen Alkoholgehalt von 4,7% und ein Mindestfrischedatum von acht Wochen.",4.7,25,50,4.101604,,
11,Gerst Amber,Yazoo Brewing Company Gerst Amber,Altbier,Yazoo Brewing Company,"Check out a piece of Nashville brewing history! Gerst Brewery was the original Nashville brewery, but never recovered after prohibition. We are excited to partner with the Chandler Family, owners of the Gerst Haus Restaurant, to bring this beer back right where it belongs – Nashville, Tennessee.This is a very “clean” beer, with mostly German malts and a hint of flaked maize, remaining as true as possible to the original Gerst recipe.11 IBUs",5.1,25,50,4.0,,
12,Ad Astra Ale,Free State Brewing Co. Ad Astra Ale,Altbier,Free State Brewing Co.,"This ale is the first brewed in Kansas since pioneering days. The name ""Ad Astra comes from the Kansas State Motto - Ad Astra per Aspera, Latin words meaning ""To the Stars through Difficulties"". We've blended Pale, Caramel, and Munich malts for a rich amber beer. The hops balance this malty sweetness, and we've chosen Northern brewer and Fuggles hops for their flavor.24 IBU",5.6,25,50,3.869048,,
13,Copperhead Ale,Fordham Brewing Company Fordham Copperhead Ale,Altbier,Fordham Brewing Company,The name isn’t a coincidence. This Düsseldorf style Altbier blends caramelized malted barley with pronounced hop character to create a subtle copper hue. Copperhead Ale is famous for its signature balanced flavor & impeccable smoothness.,5.2,25,50,3.482143,,
14,Ten Years Alt,Victory Brewing Company Ten Years Alt,Altbier,Victory Brewing Company,"A Doppelsticke Altbier brewed for Victory Brewing's 10th Anniversary, released in Feb 2006 and debuting at BeerAdvocate's 3rd Annual Extreme Beer Fest in 2006. A dark ale with malty depth, but with the fragrance and bold, brassy tang of European hops. 8.5%. According to Victory, they believe that this could be the first Doppelsticke brewed in the US.",8.5,25,50,3.886454,,
15,Three Blind Mice,Mother's Brewing Company Three Blind Mice,Altbier,Mother's Brewing Company,"Three Blind Mice is inspired by our favorite qualities from English brown ales, German altbiers, and Irish reds. Mother’s trio of beer connoisseurs sipped away many a night, working to find this ideal combination. Mother’s beautiful brown beer is medium-bodied with caramel, toffee, and subtle chocolate malt flavors—all balanced by moderate hop notes and a clean, dry finish.Three Blind Mice combines components of several malty beers for the unique brown beer experience you've been missing. After lots of research to find the perfect styles for our base, the clear winners were the lighter body and caramel characters of Irish red ales, the soft chocolate and toffee flavors from English brown ales, and the hop component and balance of German altbiers. We used traditional elements from each beer style and added our own touch for one incredible brown beer.24 IBU",5.5,25,50,3.642857,,
16,Ishmael,Rising Tide Brewing Company Ishmael,Altbier,Rising Tide Brewing Company,"Ishmael is our richly-flavored American copper ale. This American interpretation of the altbiers of Düsseldorf is brewed with continental Munich malt, American-grown hops, and a clean-fermenting ale yeast to produce a slightly sweet and malty beer balanced by a firm bitterness.",4.9,25,50,3.9,,
17,Headwall Alt,Tuckerman Brewing Co. Headwall Alt,Altbier,Tuckerman Brewing Co.,"This is traditional style of altbeir from Düsseldorf, Germany. Alt literally means old in German. Staying as true to the recipe as possible, the Headwall Alt is brewed using German malts, plus German and American hops. Like the Pale Ale, the Headwall Alt is cold conditioned, dry-hopped and krausened in the bottle or keg. Similar to the Pale Ale, the process takes about 30 days.",4.5,25,50,3.820988,,
18,Alt-eration Ale,Hops & Grain Alt-eration Ale,Altbier,Hops & Grain,,5.0,25,50,4.5,,
19,Schell's Schmaltz's Alt,August Schell Brewing Company Barrel Aged Schmaltz's Alt,Altbier,August Schell Brewing Company,"One of Warren's favorite pastimes back in the 30's was a trip to the city dump to shoot rats–so much that it was a common date for him and his wife-to-be, Casey. The manager of the city dump was John Schmaltz–hence the nickname ""Schmaltz"" Marti. We hope you enjoy our Schmaltz's Alt, a creamy smooth dark alt brewed even better than before.",5.1,25,50,4.075,,
20,Frankenheim Alt,Privatbrauerei Frankenheim Frankenheim Alt,Altbier,Privatbrauerei Frankenheim,,4.8,25,50,3.853175,,
21,Iron Works Alt,Metropolitan Brewing Iron Works Alt,Altbier,Metropolitan Brewing,"An assertively hoppy top-fermented beer, polished by the wisdom and patience of lagering. Think of it as an octogenarian with a punk rock attitude. Slightly dry, this beer pairs well with hearty cuisine. We also suggest sipping it on its own; the complexity will keep you entertained and happy.45 IBU",5.5,25,50,4.0,,
22,Diebels Premium Altbier,Brauerei Diebels GmbH & Co KG Diebels Premium Altbier,Altbier,Brauerei Diebels GmbH & Co KG,,4.9,25,50,3.875,,
23,Mission Amber,Mission Brewery Mission Amber,Altbier,Mission Brewery,,5.0,25,50,3.470588,,
24,Hövels Original,Hövels Hausbrauerei Hövels Original Bitterbier,Altbier,Hövels Hausbrauerei,,5.5,25,50,3.75,,
25,Secret Spot Alt Ale,Evolution Craft Brewing Company Secret Spot Winter Ale,Altbier,Evolution Craft Brewing Company,,6.3,25,50,4.125,,
26,Lighthouse Amber,Cheboygan Brewing Company Lighthouse Amber,Altbier,Cheboygan Brewing Company,"Our German style Alt has a brilliant amber hue, and silky smooth medium body. Its light tan head is thick, retaining, and laces the glass all the way down. A Noble hop aroma up front finishes with a caramel malt nose. Our old world brewing method brings out a light toasted-bread flavor you’ll want to savor again and again. It’s a mouthwatering, thirst quenching delight.",5.25,25,50,4.0,,
27,Série Signature Sticke Alt,Les Trois Mousquetaires Série Signature Sticke Alt,Altbier,Les Trois Mousquetaires,"Malts: Pilsner, Pale, Caramel 60, Caramel 160/ 74 IBU / Hops: Magnum, N Brewer, HallertauOG: 15.3ºP FG:4.3ºP / SRM: 19 / 12 month aging",6.0,25,50,3.866667,,
28,Crooked Coast Altbier,Driftwood Brewery Crooked Coast Amber Ale,Altbier,Driftwood Brewery,"Inspired by the original Alt-style beer of Dusseldorf, Crooked Coast brings together the aromas of German noble hops and Munich malt to produce a very refreshing and mellow ale that is the perfect companion on any shape of coast.",5.1,25,50,4.083333,,
29,Gravel Road,Rahr & Sons Brewing Company Gravel Road,Altbier,Rahr & Sons Brewing Company,,7.25,25,50,3.636364,,
30,Little Red Cap,Grimm Brothers Brewhouse Little Red Cap,Altbier,Grimm Brothers Brewhouse,"Altbier is German for “Old Beer”, this refers to the “old” style of brewing using an ale yeast (As opposed to a lager yeast fermentation which is a relatively new process). This beer originated in the Westphalia region of Germany in a town named Dusseldorf. Due to the cool climate of Dusseldorf, Altbiers employee an ale yeast that has evolved over time to ferment at somewhat cooler temperature than that of other ale yeasts. This cool fermentation produces subtle yeast derived esters and leaves a clean malty beer. In addition to this cool clean fermentation, altbiers are then lagered at cold temperatures to help smooth and refine the beer. The result of this is a very clean and hoppy red ale.Coming in at 6.2% ABV and IBUs Little Red Cap is an easy drinking hop forward beer worthy of its heritage. We use a bit of Cascade hop to give it an “American Twist” while maintaining its German heritage. This beer won a Gold Medal at the 2011 and 2016 GABF and a Bronze at the 2012 GABF. It also won a Silver Award at the 2016 World beer cup.",5.2,25,50,4.0,,
31,Festivale,Beau's All Natural Brewing Company Festivale,Altbier,Beau's All Natural Brewing Company,"Festivale is an amber ale, with balanced high-intensity maltiness and hop presence. Caramunich malts give Festivale its colour and a rich caramel sweetness. Festivale bucks the trend of pale summer beers, offering up amber hues and tastiness for a unique result that is both quaffable and refreshing.40 IBU",4.7,25,50,3.681818,,
32,Moby D,Buzzards Bay Brewing Moby D,Altbier,Buzzards Bay Brewing,,5.0,25,50,3.909091,,
33,Über Alt,Rush River Brewing Company Über Alt,Altbier,Rush River Brewing Company,"Our Alt is a much stronger version of the traditional Dusseldorf Altbiers. An ancient style from the Rhineland, Altbiers are ales that were virtually wiped out by German lagers in the 1800’s. We use plenty of European hops and German pilsner malts to brew a remarkably clean beer. We then rest it in the cooler for two months to achieve the mellow finish that is the Überalt’s trademark.",8.5,25,50,4.166667,,
34,Füchschen Alt,Brauerei Im Füchschen Im Füchschen Alt,Altbier,Brauerei Im Füchschen,,4.5,25,50,4.452381,,
35,Sticke It To The Man,O'Fallon Brewery Sticke It To The Man,Altbier,O'Fallon Brewery,,7.5,25,50,3.287879,,
36,Evan Altmighty,Blue Mountain Brewery Evan Altmighty,Altbier,Blue Mountain Brewery,"34 IBUPilsner, CaraPils and Vienna MaltsHallertau Mittelfruh HopsAle YeastDeep Well Water",6.6,25,50,4.1,,
37,ALTerior Motive,COAST Brewing Company ALTerior Motive,Altbier,COAST Brewing Company,"Our altbier is crafted after the authentic, or sticke, style that originated in Germany. It is extremely malty, aggressively hoppy and cold conditioned for a clean, smooth finish.",6.3,25,50,4.46875,,
38,The Detroit Dwarf,Detroit Beer Co. Detroit Beer Co. The Detroit Dwarf,Altbier,Detroit Beer Co.,"""This beer has won a bronze, silver and gold as an Alt at the Great american beer festival, and now a silver at the world beer cup as an Alt.""",6.8,25,50,3.827586,,
39,Olde School Barleywine,Dogfish Head Brewery Olde School Barleywine,Barleywine - American,Dogfish Head Brewery,"Bold, yet smooth! Fermented with dates and figs, this bone-crushing barleywine has a unique flavor.85 IBUABV varies from 13-16%.",15.0,60,100,3.704363,,
40,Brewer's Reserve Bourbon Barrel Barleywine,Central Waters Brewing Company Bourbon Barrel Barleywine,Barleywine - American,Central Waters Brewing Company,Aged for 1 year in used bourbon barrels.,14.3,60,100,4.09106,,
41,Old Ruffian,Great Divide Brewing Company Old Ruffian Barley Wine,Barleywine - American,Great Divide Brewing Company,"Old Ruffian is a hefty, hop-forward barley wine. Seemingly mellow at the start with subtle fruit aromas and complex caramel sweetness, it quickly becomes aggressive with its bold hop flavors and huge hop bitterness. Ultimately, the big body, succulent sweetness and massive hop character come together to work wonders on your palate.",10.2,60,100,4.071885,,
42,Old Horizontal,Victory Brewing Company Old Horizontal,Barleywine - American,Victory Brewing Company,"Massive amounts of barley malts, combined with fresh harvest American hops make it aromatic and spicy on the nose. Floral, fruity aromas slide into honeyed malt depth with lingering sensations of candied and citrus fruit. Late warming alcohol brings all of these flavors into wonderful harmony to finish.Malt: Imported 2 row German maltsHops: Whole flower American hopsFood Pairings: Meat pies and English cheese",11.0,60,100,3.963517,,
43,Behemoth,Three Floyds Brewing Co. & Brewpub Behemoth Blonde Barleywine,Barleywine - American,Three Floyds Brewing Co. & Brewpub,"A huge, sweet barleywine with complex caramel malt notes, balanced by generous hopping and a high alcohol content. This fruity and malty beer is best enjoyed while keeping warm in the brutal winter months.80 IBU2005 Bottle release - Pink Wax 2007 Bottle release - Yellow Wax, hands not skull on flat finish label (Brewed in Nov 06) 2008 Bottle release - Purple Wax 2009 Bottle release - Blue Wax2010 Bottle release - Green Wax2011 Bottle release - White Wax2011 Bottle release - Yellow Wax, glossy label, skull on label (Ohio only)2012 Bottle release - Red Wax2013 Bottle release - Orange Wax2014 Bottle release - Blue Wax2015 Bottle release - Purple Wax2016 Bottle release - Black Metallic Wax2017 Bottle release - Silver Wax",10.5,60,100,4.059908,,
44,Olde GnarlyWine,Lagunitas Brewing Company Olde GnarlyWine,Barleywine - American,Lagunitas Brewing Company,"2011: 10.6% ABV, 69 IBU",10.9,60,100,4.016367,,
45,Old Numbskull,AleSmith Brewing Company AleSmith Old Numbskull,Barleywine - American,AleSmith Brewing Company,,11.0,60,100,4.102241,,
46,Flying Mouflan,Tröegs Brewing Company Flying Mouflan,Barleywine - American,Tröegs Brewing Company,This strong alluring ale is two beers in one. Cracking open a fresh bottle unleashes hops and heat with more than 100 IBUs emanating from three hop varieties and sweet burn of 9.3% ABV. Cellaring the Flying Mouflan in a cool dark place at 50 degrees for a minimum of four months will mellow out the hops and wash away the heat. If you can resist temptation you will be rewarded with two memorable beers in a single bottle.,9.3,60,100,4.083696,,
47,XS Old Crustacean,Rogue Ales XS Old Crustacean,Barleywine - American,Rogue Ales,"Formerly ""Old Crustacean""8 Ingredients:Hugh Baird Carastan and Rogue Micro Barley Farm DareTM & RiskTM Malts; Chinook and Rogue Micro Hopyard Revolution & Freedom Hops, Pacman Yeast & Free Range Coastal Water.25º PLATO110 IBU83 AA57º Lovibond",11.5,60,100,3.738265,,
48,Doggie Claws,Hair of the Dog Brewing Company / Brewery and Tasting Room Doggie Claws,Barleywine - American,Hair of the Dog Brewing Company / Brewery and Tasting Room,"""a Barley Wine made in the West Coast style. Big malt and hops make this copper colored ale one of our most popular products. Produced in September and October and released in November, this Beer will improve for years to come. Alcohol: 11.5% by volume. IBU's 70""",11.5,60,100,4.021786,,
49,Helldorado,Firestone Walker Brewing Co. Helldorado,Barleywine - American,Firestone Walker Brewing Co.,"Part of the adventure of aging beer in retired spirits barrels is the synergistic interaction of different malt flavors with the oak and spirit flavors from the barrel. Darker beers like stouts and darker barley wines have typically been the favored candidates for barrel-aging, due to their deeper caramel and roasted flavors. Helldorado breaks that mold with a deep golden color from being brewed solely with English and American pale malts. The bready, honeyed flavors of pale malts pull out rich wildflower honey, vanilla and coconut notes from the oak, creating an overall flavor evocative of bourbon-glazed graham crackers that stands as singularly unique in our Vintage lineup.",12.8,60,100,4.5,,
50,Cockeyed Cooper,Uinta Brewing Company Cockeyed Cooper,Barleywine - American,Uinta Brewing Company,Aged in bourbon barrels.65 IBU,11.1,60,100,3.813333,,
51,Solstice D'hiver,Brasserie Dieu Du Ciel Solstice D'hiver,Barleywine - American,Brasserie Dieu Du Ciel,"This noble winter beer is brown in colour with flaming red highlights. It has a complex aroma of fruits, alcohol and hops. Its taste is delicately sweet and liquor-like with a hint of burnt caramel. It is a very bitter beer with aromas and flavours reminiscent of red fruit. The aftertaste is accentuated by the wonderful flavour of hops.",10.2,60,100,3.817241,,
52,Anniversary Barley Wine Ale,Uinta Brewing Company Anniversary Barley Wine,Barleywine - American,Uinta Brewing Company,"Rich and complex, this all malt barley wine exhibits hints of dried fruits, toffee and caramel balanced by an abundance of American hops.72 IBU",10.4,60,100,3.769366,,
53,Barleywine Style Ale,Green Flash Brewing Co. Barleywine Style Ale,Barleywine - American,Green Flash Brewing Co.,,10.9,60,100,3.732092,,
54,Lower De Boom Barleywine,21st Amendment Brewery Lower Da Boom Barleywine,Barleywine - American,21st Amendment Brewery,,11.5,60,100,3.5,,
55,Killer Penguin Barleywine,Boulder Beer / Wilderness Pub Killer Penguin Barleywine,Barleywine - American,Boulder Beer / Wilderness Pub,"This limited, small-batch release is dark garnet red in color with a candied-fruit like aroma and flavor. At 10% ABV, Killer Penguin is a big barleywine that comes across very smooth and extremely balanced -- the perfect beer to share among friends.",10.0,60,100,3.573593,,
56,Great,Alpine Beer Company Great,Barleywine - American,Alpine Beer Company,"The base of this beer was available at a couple of festivals as a barleywine named ""Good"". The remainder of the batch spent several months aging in fresh Jack Daniels barrels and became ""Great"".",14.0,60,100,4.163866,,
57,Griffin's BowBoston Beer Company (Samuel Adams),Boston Beer Company (Samuel Adams) Griffin's Bow,Barleywine - American,Boston Beer Company (Samuel Adams),"From the aroma and notes of sweet honeysuckle, pineapple, and grapefruit, to richer hints of burnt sugar, and toffee, this intriguing brew is full of complex flavors. The distinct character of toasted oak adds depth and contrasts the light fruit sweetness. This unique take on a barley wine ale surprises with its smoothness and balance of fruit, hop citrus, and warmth.Hops: Nelson Sauvin, ZeusMalts: Two-Row Harrington, Metcalfe, Copeland Pale, Paul’s CaramaltAged on toasted oak",11.5,60,100,3.465517,,
58,Sisyphus,Real Ale Brewing Company Sisyphus,Barleywine - American,Real Ale Brewing Company,,11.5,60,100,3.826923,,
59,Gratitude,East End Brewing Company Gratitude,Barleywine - American,East End Brewing Company,"A limited edition Barleywine Style Ale, brewed in November in the American tradition and hand packaged to specially commemorate the anniversary of the brewery each year.Gratitude Wax Colors:2005-Red Wax2006-Orange Wax2007-Yellow Wax2008-Green Wax2009-Blue Wax2010-Indigo Wax2011-no wax, blank cap (Flatitude)2012-no wax, ""12"" on cap (Flatitude)2013-Violet Wax2014 - red wax, label made to look like paper",11.5,60,100,4.174479,,
60,Barleywine Ale,The Duck-Rabbit Craft Brewery Duck-Rabbit Barleywine Ale,Barleywine - American,The Duck-Rabbit Craft Brewery,"The Duck-Rabbit Barleywine is the hoppiest of all the Duck-Rabbit brews. This is a Farmville-style Barleywine, crafted the way brewers in Farmville have always done. Loads of Amarillo hops give a piney citrusy bitterness that's supported beautifully by a toffee malt backbone.",11.0,60,100,3.721088,,
61,The Vermonster,Rock Art Brewery Vermonster,Barleywine - American,Rock Art Brewery,We brewed The Vermonster with 110 pounds of malt per barrel and jacked up the pour into a wide mouth thin glass goblet.,10.0,60,100,3.816832,,
62,Smuttynose Barleywine Style Ale (Big Beer Series),Smuttynose Brewing Company Smuttynose Barleywine Style Ale (Big Beer Series),Barleywine - American,Smuttynose Brewing Company,"First brewed in England, these potent, malty monsters were frequently aged before being put into small bottles and sold as strong beers or even medicinal tonics. The American version has been blown up with more alcohol, larger bottles and more hops.Smuttynose Barleywine straddles these two branches of the barleywine tree. When you taste it, you’ll notice deep, rich caramel malt flavors, balanced with hop bitterness. Fruity hop flavors act as a garnish for its amped-up but classic flavor. For a more refined experience, tuck a few bottles away for a year or two. The alcohol will mellow and the hop aromas will fade into the background, leaving the luscious malt to shine on its own.65 IBU2007 - 11.4%2009 - 11.1%",11.6,60,100,3.847352,,
63,John Barleycorn Barleywine Ale,Mad River Brewing Company John Barleycorn Barleywine Ale,Barleywine - American,Mad River Brewing Company,Same recipe each year. ABV varies slightly 9.5-11.0%,11.4,60,100,3.673567,,
64,Barrel Aged Behemoth,Three Floyds Brewing Co. & Brewpub Barrel Aged Behemoth,Barleywine - American,Three Floyds Brewing Co. & Brewpub,American barleywine aged in Woodford Reserve bourbon barrels.,12.5,60,100,4.287879,,
65,Old Ruffian - Barrel-Aged,Great Divide Brewing Company Barrel Aged Old Ruffian,Barleywine - American,Great Divide Brewing Company,,12.7,60,100,3.97619,,
66,# 100,Nøgne Ø - Det Kompromissløse Bryggeri A/S # 100,Barleywine - American,Nøgne Ø - Det Kompromissløse Bryggeri A/S,"23,5° P, 80 IBU.First brewed to celebrate the 100th batch. Ingredients: Maris Otter, wheat, and chocolate malt; Columbus, Chinook, and Centennial hops; English ale yeast, and our local Grimstad water.",10.0,60,100,3.961009,,
67,Old Numbskull - Bourbon Barrel-Aged,AleSmith Brewing Company AleSmith Old Numbskull - Barrel Aged,Barleywine - American,AleSmith Brewing Company,"A West Coast style barleywine. A huge malt profile and a very aggressive dose of premium domestic hops give Old Numbskull a tantalizing complexity, from the aroma to the aftertaste. A year spent in bourbon barrels adds amazing depth and complexity.",11.0,60,100,4.198413,,
68,Devil's Milk,DuClaw Brewing Company Devil's Milk,Barleywine - American,DuClaw Brewing Company,"Our award winning barleywine will seduce you with its assertive hop bill (that changes each year to make each vintage unique), citrus flavors, and warming 10% ABV. Devil’s Milk is best served in a snifter to accommodate its ABV and allow complex flavors to emerge as it warms in your hands.",10.0,60,100,3.785714,,
69,Big Worse,Mikkeller ApS Big Worse,Barleywine - American,Mikkeller ApS,"Brewed at De Proefbrouwerij.Ingredients: Water, malt (pils and caramunich), candy sugar, hops (nugget, cascade and centennial) and ale yeast.",12.0,60,100,3.600478,,
70,Chicken Killer Barley Wine,Santa Fe Brewing Company Chicken Killer Barley Wine,Barleywine - American,Santa Fe Brewing Company,"Chicken Killer Barley Wine is the revolutionary beer that will someday define America's unique Barley Wine style. It is brewed with twice the ingredients of the Santa Fe Brewing Company's other beers, and only half the usual amount of liquid is extracted from these ingredients. This makes one substantial beer. At over ten percent alcohol, Chicken Killer is actually as substantial as wine, but this is not to say that it is difficult to drink. On the contrary; be careful with this one. The flavors of the beer are at first as overwhelming as the intense Santa Fe sun. But in the same way our sun gives us the unrivaled brilliant colors of Santa Fe, the potency of Chicken Killer gives us the remarkable spectrum of flavors that can be found in no other beer, in no other city. If you did not have the opportunity to try last year's vintage, come try this year's!",10.0,60,100,3.544444,,
71,Olde Bluehair Barley Wine,Big Sky Brewing Company Olde Bluehair - Barrel Aged,Barleywine - American,Big Sky Brewing Company,75 IBU,12.0,60,100,3.917808,,
72,Old Blarney Barleywine,Moylan's Brewery Old Blarney Barleywine,Barleywine - American,Moylan's Brewery,,10.0,60,100,3.821739,,
73,Druid Fluid,"Middle Ages Brewing Co., Ltd. Druid Fluid",Barleywine - American,"Middle Ages Brewing Co., Ltd.",,9.5,60,100,3.834728,,
74,Holidale,Berkshire Brewing Company Inc. Holidale,Barleywine - American,Berkshire Brewing Company Inc.,,9.5,60,100,3.891566,,
75,Old Howling Bastard,Blue Point Brewing Company Blue Point Old Howling Bastard,Barleywine - American,Blue Point Brewing Company,"Our special barley wine is made with English 2-row barley and Vienna malt. Its robust, malty, caramel flavor is balanced by lots and lots of hops, giving it a great depth of character.",10.0,60,100,3.717822,,
76,Old Backus Barleywine,Free State Brewing Co. Old Backus Barleywine,Barleywine - American,Free State Brewing Co.,"Bronze Medal Winner, 1997 World Beer Championships - Barleywines.Old Backus contains just over 2,000 pounds of malt and 55 pounds of hops. The original gravity is 25.6 P/1092 which contributes to an alcohol content of 10.5% by volume. This is a tremendously complex beer that should be savoured slowly and in moderation. It will continue to change with age as it is served unfiltered.This barleywine is named after Richard Backus, an old friend to the Brewery.",10.5,60,100,4.375,,
77,§ucaba,Firestone Walker Brewing Co. §ucaba (Abacus),Barleywine - English,Firestone Walker Brewing Co.,"Also known as Abacus2011 Reserve Series Bottle O.G. 27 PlatoF.G. 4.7 PlatoI.B.U. 42 unitsYeast: British Ale (House)Cases: 1500 producedColor: 36SRM (Dark Ruby)2014 Bottle NotesO.G. 27 PlatoF.G. 4.7 PlatoI.B.U. 42 unitsYeast: British Ale (House)Cases: 3500 producedColor: 36SRM (Dark Ruby)Matured for 1 year in a blend of Heaven Hill, 4 Roses, and Old Fitzgerald barrels.",12.5,40,60,4.375,,
78,Insanity,Weyerbacher Brewing Co. Insanity,Barleywine - English,Weyerbacher Brewing Co.,"Insanity, 13.3% ABV, is made by aging our Blithering Idiot Barleywine Ale in whiskey barrels. The barrel aging imparts an additional level of complexity to an already intense malt profile by adding a combination of vanilla, oak and whiskey notes.",13.3,40,60,3.976012,,
79,Blithering Idiot,Weyerbacher Brewing Co. Blithering Idiot,Barleywine - English,Weyerbacher Brewing Co.,,11.1,40,60,3.607191,,
80,Mother Of All Storms,Pelican Pub & Brewery Mother Of All Storms,Barleywine - English,Pelican Pub & Brewery,"First Release - November 2008 'The Perfect Storm'2007 Stormwatcher's Winterfest Barleywine, aged in 1998 Evan Williams Bourbon Barrels.Second Release - October 2009 'The Perfect Storm'2008 Stormwatcher's Winterfest Barleywine, aged in 1998 Evan Williams Bourbon Barrels.***NOTE - Third Release - November 2010 The name was changed to 'Mother of All Storms' for trademark reasons.***Fourth Release - November 201131.7 degrees PlatoAlcohol: 13.5% by volumeBitterness: 40 IBU",14.0,40,60,4.281853,,
81,Old Foghorn,Anchor Brewing Company Anchor Old Foghorn,Barleywine - English,Anchor Brewing Company,"Old Foghorn® is brewed based on historic English barleywine methods. It is highly hopped, fermented with a true top-fermenting ale yeast, carbonated by a natural process called ""bunging"" to produce champagne-like bubbles, and dry-hopped with additional Cascade hops while it ages in our cellars. Made only from “first wort,” the rich first runnings of an all-malt mash, three mashes are required to produce just one barleywine brew.ABV varies slightly over the years.",10.0,40,60,3.853854,,
82,Double Double Barrel Ale,Firestone Walker Brewing Co. Double Double Barrel Ale,Barleywine - English,Firestone Walker Brewing Co.,,12.0,40,60,4.117647,,
83,Mirror Mirror,Deschutes Brewery Mirror Mirror,Barleywine - English,Deschutes Brewery,"Bottled/kegged vintages:2005 - Released February 20062009 - Released April 20092014 - Released April 2014The Reserve Series romance all began with our first release of this limited-edition brew. Mirror Mirror, born of a double batch of Mirror Pond Pale Ale, is an inspired barley wine ale layered with intriguing nuances. Explore this latest incarnation and enjoy its delicious complexity in every sip.30 IBU",11.0,40,60,4.096491,,
